PROJCS,EPSG
NAD83_CSRS98_MTM_zone_4_deprecated,2141
NAD83_CSRS98_MTM_zone_5_deprecated,2142
NAD83_CSRS98_MTM_zone_6_deprecated,2143
NAD83_CSRS98_MTM_zone_7_deprecated,2144
NAD83_CSRS98_MTM_zone_8_deprecated,2145
NAD83_CSRS98_MTM_zone_9_deprecated,2146
NAD83_CSRS98_MTM_zone_10_deprecated,2147
NAD83_CSRS98_UTM_zone_21N_deprecated,2148
NAD83_CSRS98_UTM_zone_18N_deprecated,2149
NAD83_CSRS98_UTM_zone_17N_deprecated,2150
NAD83_CSRS98_UTM_zone_13N_deprecated,2151
NAD83_CSRS98_UTM_zone_12N_deprecated,2152
NAD83_CSRS98_UTM_zone_11N_deprecated,2153
RGF93_Lambert_93,2154
American_Samoa_1962_American_Samoa_Lambert_deprecated,2155
NAD83_HARN_UTM_zone_59S_deprecated,2156
IRENET95_Irish_Transverse_Mercator,2157
IRENET95_UTM_zone_29N,2158
Sierra_Leone_1924_New_Colony_Grid,2159
Sierra_Leone_1924_New_War_Office_Grid,2160
Sierra_Leone_1968_UTM_zone_28N,2161
Sierra_Leone_1968_UTM_zone_29N,2162
US_National_Atlas_Equal_Area,2163
Locodjo_1965_TM_5_NW,2164
Abidjan_1987_TM_5_NW,2165
Pulkovo_1942_83_Gauss_Kruger_zone_3_deprecated,2166
Pulkovo_1942_83_Gauss_Kruger_zone_4_deprecated,2167
Pulkovo_1942_83_Gauss_Kruger_zone_5_deprecated,2168
Luxembourg_1930_Gauss,2169
MGI_Slovenia_Grid_deprecated,2170
Pulkovo_1942_58_Poland_zone_I_deprecated,2171
Pulkovo_1942_58_Poland_zone_II,2172
Pulkovo_1942_58_Poland_zone_III,2173
Pulkovo_1942_58_Poland_zone_IV,2174
Pulkovo_1942_58_Poland_zone_V,2175
ETRS89_Poland_CS2000_zone_5,2176
ETRS89_Poland_CS2000_zone_6,2177
ETRS89_Poland_CS2000_zone_7,2178
ETRS89_Poland_CS2000_zone_8,2179
ETRS89_Poland_CS92,2180
Azores_Occidental_1939_UTM_zone_25N,2188
Azores_Central_1948_UTM_zone_26N,2189
Azores_Oriental_1940_UTM_zone_26N,2190
Madeira_1936_UTM_zone_28N_deprecated,2191
ED50_France_EuroLambert_deprecated,2192
NZGD2000_New_Zealand_Transverse_Mercator_2000,2193
American_Samoa_1962_American_Samoa_Lambert_deprecated,2194
NAD83_HARN_UTM_zone_2S,2195
ETRS89_Kp2000_Jutland,2196
ETRS89_Kp2000_Zealand,2197
ETRS89_Kp2000_Bornholm,2198
Albanian_1987_Gauss_Kruger_zone_4_deprecated,2199
ATS77_New_Brunswick_Stereographic_ATS77,2200
REGVEN_UTM_zone_18N,2201
REGVEN_UTM_zone_19N,2202
REGVEN_UTM_zone_20N,2203
NAD27_Tennessee,2204
NAD83_Kentucky_North,2205
ED50_3_degree_Gauss_Kruger_zone_9,2206
ED50_3_degree_Gauss_Kruger_zone_10,2207
ED50_3_degree_Gauss_Kruger_zone_11,2208
ED50_3_degree_Gauss_Kruger_zone_12,2209
ED50_3_degree_Gauss_Kruger_zone_13,2210
ED50_3_degree_Gauss_Kruger_zone_14,2211
ED50_3_degree_Gauss_Kruger_zone_15,2212
ETRS89_TM_30_NE,2213
Douala_1948_AOF_west_deprecated,2214
Manoca_1962_UTM_zone_32N,2215
Qornoq_1927_UTM_zone_22N,2216
Qornoq_1927_UTM_zone_23N,2217
Scoresbysund_1952_Greenland_zone_5_east,2218
ATS77_UTM_zone_19N,2219
ATS77_UTM_zone_20N,2220
Scoresbysund_1952_Greenland_zone_6_east,2221
NAD83_Arizona_East_ft,2222
NAD83_Arizona_Central_ft,2223
NAD83_Arizona_West_ft,2224
NAD83_California_zone_1_ftUS,2225
NAD83_California_zone_2_ftUS,2226
NAD83_California_zone_3_ftUS,2227
NAD83_California_zone_4_ftUS,2228
NAD83_California_zone_5_ftUS,2229
NAD83_California_zone_6_ftUS,2230
NAD83_Colorado_North_ftUS,2231
NAD83_Colorado_Central_ftUS,2232
NAD83_Colorado_South_ftUS,2233
NAD83_Connecticut_ftUS,2234
NAD83_Delaware_ftUS,2235
NAD83_Florida_East_ftUS,2236
NAD83_Florida_West_ftUS,2237
NAD83_Florida_North_ftUS,2238
NAD83_Georgia_East_ftUS,2239
NAD83_Georgia_West_ftUS,2240
NAD83_Idaho_East_ftUS,2241
NAD83_Idaho_Central_ftUS,2242
NAD83_Idaho_West_ftUS,2243
NAD83_Indiana_East_ftUS_deprecated,2244
NAD83_Indiana_West_ftUS_deprecated,2245
NAD83_Kentucky_North_ftUS,2246
NAD83_Kentucky_South_ftUS,2247
NAD83_Maryland_ftUS,2248
NAD83_Massachusetts_Mainland_ftUS,2249
NAD83_Massachusetts_Island_ftUS,2250
NAD83_Michigan_North_ft,2251
NAD83_Michigan_Central_ft,2252
NAD83_Michigan_South_ft,2253
NAD83_Mississippi_East_ftUS,2254
NAD83_Mississippi_West_ftUS,2255
NAD83_Montana_ft,2256
NAD83_New_Mexico_East_ftUS,2257
NAD83_New_Mexico_Central_ftUS,2258
NAD83_New_Mexico_West_ftUS,2259
NAD83_New_York_East_ftUS,2260
NAD83_New_York_Central_ftUS,2261
NAD83_New_York_West_ftUS,2262
NAD83_New_York_Long_Island_ftUS,2263
NAD83_North_Carolina_ftUS,2264
NAD83_North_Dakota_North_ft,2265
NAD83_North_Dakota_South_ft,2266
NAD83_Oklahoma_North_ftUS,2267
NAD83_Oklahoma_South_ftUS,2268
NAD83_Oregon_North_ft,2269
NAD83_Oregon_South_ft,2270
NAD83_Pennsylvania_North_ftUS,2271
NAD83_Pennsylvania_South_ftUS,2272
NAD83_South_Carolina_ft,2273
NAD83_Tennessee_ftUS,2274
NAD83_Texas_North_ftUS,2275
NAD83_Texas_North_Central_ftUS,2276
NAD83_Texas_Central_ftUS,2277
NAD83_Texas_South_Central_ftUS,2278
NAD83_Texas_South_ftUS,2279
NAD83_Utah_North_ft,2280
NAD83_Utah_Central_ft,2281
NAD83_Utah_South_ft,2282
NAD83_Virginia_North_ftUS,2283
NAD83_Virginia_South_ftUS,2284
NAD83_Washington_North_ftUS,2285
NAD83_Washington_South_ftUS,2286
NAD83_Wisconsin_North_ftUS,2287
NAD83_Wisconsin_Central_ftUS,2288
NAD83_Wisconsin_South_ftUS,2289
ATS77_Prince_Edward_Isl_Stereographic_ATS77,2290
NAD83_CSRS98_Prince_Edward_Isl_Stereographic_NAD83_deprecated,2291
NAD83_CSRS98_Prince_Edward_Isl_Stereographic_NAD83_deprecated,2292
ATS77_MTM_Nova_Scotia_zone_4,2294
ATS77_MTM_Nova_Scotia_zone_5,2295
Ammassalik_1958_Greenland_zone_7_east,2296
Qornoq_1927_Greenland_zone_1_east_deprecated,2297
Qornoq_1927_Greenland_zone_2_east_deprecated,2298
Qornoq_1927_Greenland_zone_2_west,2299
Qornoq_1927_Greenland_zone_3_east_deprecated,2300
Qornoq_1927_Greenland_zone_3_west,2301
Qornoq_1927_Greenland_zone_4_east_deprecated,2302
Qornoq_1927_Greenland_zone_4_west,2303
Qornoq_1927_Greenland_zone_5_west,2304
Qornoq_1927_Greenland_zone_6_west,2305
Qornoq_1927_Greenland_zone_7_west,2306
Qornoq_1927_Greenland_zone_8_east,2307
Batavia_TM_109_SE,2308
WGS_84_TM_116_SE,2309
WGS_84_TM_132_SE,2310
WGS_84_TM_6_NE,2311
Garoua_UTM_zone_33N,2312
Kousseri_UTM_zone_33N,2313
Trinidad_1903_Trinidad_Grid_ftCla,2314
Campo_Inchauspe_UTM_zone_19S,2315
Campo_Inchauspe_UTM_zone_20S,2316
PSAD56_ICN_Regional,2317
Ain_el_Abd_Aramco_Lambert,2318
ED50_TM27,2319
ED50_TM30,2320
ED50_TM33,2321
ED50_TM36,2322
ED50_TM39,2323
ED50_TM42,2324
ED50_TM45,2325
Hong_Kong_1980_Grid_System,2326
Xian_1980_Gauss_Kruger_zone_13,2327
Xian_1980_Gauss_Kruger_zone_14,2328
Xian_1980_Gauss_Kruger_zone_15,2329
Xian_1980_Gauss_Kruger_zone_16,2330
Xian_1980_Gauss_Kruger_zone_17,2331
Xian_1980_Gauss_Kruger_zone_18,2332
Xian_1980_Gauss_Kruger_zone_19,2333
Xian_1980_Gauss_Kruger_zone_20,2334
Xian_1980_Gauss_Kruger_zone_21,2335
Xian_1980_Gauss_Kruger_zone_22,2336
Xian_1980_Gauss_Kruger_zone_23,2337
Xian_1980_Gauss_Kruger_CM_75E,2338
Xian_1980_Gauss_Kruger_CM_81E,2339
Xian_1980_Gauss_Kruger_CM_87E,2340
Xian_1980_Gauss_Kruger_CM_93E,2341
Xian_1980_Gauss_Kruger_CM_99E,2342
Xian_1980_Gauss_Kruger_CM_105E,2343
Xian_1980_Gauss_Kruger_CM_111E,2344
Xian_1980_Gauss_Kruger_CM_117E,2345
Xian_1980_Gauss_Kruger_CM_123E,2346
Xian_1980_Gauss_Kruger_CM_129E,2347
Xian_1980_Gauss_Kruger_CM_135E,2348
Xian_1980_3_degree_Gauss_Kruger_zone_25,2349
Xian_1980_3_degree_Gauss_Kruger_zone_26,2350
Xian_1980_3_degree_Gauss_Kruger_zone_27,2351
Xian_1980_3_degree_Gauss_Kruger_zone_28,2352
Xian_1980_3_degree_Gauss_Kruger_zone_29,2353
Xian_1980_3_degree_Gauss_Kruger_zone_30,2354
Xian_1980_3_degree_Gauss_Kruger_zone_31,2355
Xian_1980_3_degree_Gauss_Kruger_zone_32,2356
Xian_1980_3_degree_Gauss_Kruger_zone_33,2357
Xian_1980_3_degree_Gauss_Kruger_zone_34,2358
Xian_1980_3_degree_Gauss_Kruger_zone_35,2359
Xian_1980_3_degree_Gauss_Kruger_zone_36,2360
Xian_1980_3_degree_Gauss_Kruger_zone_37,2361
Xian_1980_3_degree_Gauss_Kruger_zone_38,2362
Xian_1980_3_degree_Gauss_Kruger_zone_39,2363
Xian_1980_3_degree_Gauss_Kruger_zone_40,2364
Xian_1980_3_degree_Gauss_Kruger_zone_41,2365
Xian_1980_3_degree_Gauss_Kruger_zone_42,2366
Xian_1980_3_degree_Gauss_Kruger_zone_43,2367
Xian_1980_3_degree_Gauss_Kruger_zone_44,2368
Xian_1980_3_degree_Gauss_Kruger_zone_45,2369
Xian_1980_3_degree_Gauss_Kruger_CM_75E,2370
Xian_1980_3_degree_Gauss_Kruger_CM_78E,2371
Xian_1980_3_degree_Gauss_Kruger_CM_81E,2372
Xian_1980_3_degree_Gauss_Kruger_CM_84E,2373
Xian_1980_3_degree_Gauss_Kruger_CM_87E,2374
Xian_1980_3_degree_Gauss_Kruger_CM_90E,2375
Xian_1980_3_degree_Gauss_Kruger_CM_93E,2376
Xian_1980_3_degree_Gauss_Kruger_CM_96E,2377
Xian_1980_3_degree_Gauss_Kruger_CM_99E,2378
Xian_1980_3_degree_Gauss_Kruger_CM_102E,2379
Xian_1980_3_degree_Gauss_Kruger_CM_105E,2380
Xian_1980_3_degree_Gauss_Kruger_CM_108E,2381
Xian_1980_3_degree_Gauss_Kruger_CM_111E,2382
Xian_1980_3_degree_Gauss_Kruger_CM_114E,2383
Xian_1980_3_degree_Gauss_Kruger_CM_117E,2384
Xian_1980_3_degree_Gauss_Kruger_CM_120E,2385
Xian_1980_3_degree_Gauss_Kruger_CM_123E,2386
Xian_1980_3_degree_Gauss_Kruger_CM_126E,2387
Xian_1980_3_degree_Gauss_Kruger_CM_129E,2388
Xian_1980_3_degree_Gauss_Kruger_CM_132E,2389
Xian_1980_3_degree_Gauss_Kruger_CM_135E,2390
KKJ_Finland_zone_1,2391
KKJ_Finland_zone_2,2392
KKJ_Finland_Uniform_Coordinate_System,2393
KKJ_Finland_zone_4,2394
South_Yemen_Gauss_Kruger_zone_8,2395
South_Yemen_Gauss_Kruger_zone_9,2396
Pulkovo_1942_83_3_degree_Gauss_Kruger_zone_3,2397
Pulkovo_1942_83_3_degree_Gauss_Kruger_zone_4,2398
Pulkovo_1942_83_3_degree_Gauss_Kruger_zone_5,2399
RT90_2_5_gon_W_deprecated,2400
Beijing_1954_3_degree_Gauss_Kruger_zone_25,2401
Beijing_1954_3_degree_Gauss_Kruger_zone_26,2402
Beijing_1954_3_degree_Gauss_Kruger_zone_27,2403
Beijing_1954_3_degree_Gauss_Kruger_zone_28,2404
Beijing_1954_3_degree_Gauss_Kruger_zone_29,2405
Beijing_1954_3_degree_Gauss_Kruger_zone_30,2406
Beijing_1954_3_degree_Gauss_Kruger_zone_31,2407
Beijing_1954_3_degree_Gauss_Kruger_zone_32,2408
Beijing_1954_3_degree_Gauss_Kruger_zone_33,2409
Beijing_1954_3_degree_Gauss_Kruger_zone_34,2410
Beijing_1954_3_degree_Gauss_Kruger_zone_35,2411
Beijing_1954_3_degree_Gauss_Kruger_zone_36,2412
Beijing_1954_3_degree_Gauss_Kruger_zone_37,2413
Beijing_1954_3_degree_Gauss_Kruger_zone_38,2414
Beijing_1954_3_degree_Gauss_Kruger_zone_39,2415
Beijing_1954_3_degree_Gauss_Kruger_zone_40,2416
Beijing_1954_3_degree_Gauss_Kruger_zone_41,2417
Beijing_1954_3_degree_Gauss_Kruger_zone_42,2418
Beijing_1954_3_degree_Gauss_Kruger_zone_43,2419
Beijing_1954_3_degree_Gauss_Kruger_zone_44,2420
Beijing_1954_3_degree_Gauss_Kruger_zone_45,2421
Beijing_1954_3_degree_Gauss_Kruger_CM_75E,2422
Beijing_1954_3_degree_Gauss_Kruger_CM_78E,2423
Beijing_1954_3_degree_Gauss_Kruger_CM_81E,2424
Beijing_1954_3_degree_Gauss_Kruger_CM_84E,2425
Beijing_1954_3_degree_Gauss_Kruger_CM_87E,2426
Beijing_1954_3_degree_Gauss_Kruger_CM_90E,2427
Beijing_1954_3_degree_Gauss_Kruger_CM_93E,2428
Beijing_1954_3_degree_Gauss_Kruger_CM_96E,2429
Beijing_1954_3_degree_Gauss_Kruger_CM_99E,2430
Beijing_1954_3_degree_Gauss_Kruger_CM_102E,2431
Beijing_1954_3_degree_Gauss_Kruger_CM_105E,2432
Beijing_1954_3_degree_Gauss_Kruger_CM_108E,2433
Beijing_1954_3_degree_Gauss_Kruger_CM_111E,2434
Beijing_1954_3_degree_Gauss_Kruger_CM_114E,2435
Beijing_1954_3_degree_Gauss_Kruger_CM_117E,2436
Beijing_1954_3_degree_Gauss_Kruger_CM_120E,2437
Beijing_1954_3_degree_Gauss_Kruger_CM_123E,2438
Beijing_1954_3_degree_Gauss_Kruger_CM_126E,2439
Beijing_1954_3_degree_Gauss_Kruger_CM_129E,2440
Beijing_1954_3_degree_Gauss_Kruger_CM_132E,2441
Beijing_1954_3_degree_Gauss_Kruger_CM_135E,2442
JGD2000_Japan_Plane_Rectangular_CS_I,2443
JGD2000_Japan_Plane_Rectangular_CS_II,2444
JGD2000_Japan_Plane_Rectangular_CS_III,2445
JGD2000_Japan_Plane_Rectangular_CS_IV,2446
JGD2000_Japan_Plane_Rectangular_CS_V,2447
JGD2000_Japan_Plane_Rectangular_CS_VI,2448
JGD2000_Japan_Plane_Rectangular_CS_VII,2449
JGD2000_Japan_Plane_Rectangular_CS_VIII,2450
JGD2000_Japan_Plane_Rectangular_CS_IX,2451
JGD2000_Japan_Plane_Rectangular_CS_X,2452
JGD2000_Japan_Plane_Rectangular_CS_XI,2453
JGD2000_Japan_Plane_Rectangular_CS_XII,2454
JGD2000_Japan_Plane_Rectangular_CS_XIII,2455
JGD2000_Japan_Plane_Rectangular_CS_XIV,2456
JGD2000_Japan_Plane_Rectangular_CS_XV,2457
JGD2000_Japan_Plane_Rectangular_CS_XVI,2458
JGD2000_Japan_Plane_Rectangular_CS_XVII,2459
JGD2000_Japan_Plane_Rectangular_CS_XVIII,2460
JGD2000_Japan_Plane_Rectangular_CS_XIX,2461
Albanian_1987_Gauss_Kruger_zone_4,2462
Pulkovo_1995_Gauss_Kruger_CM_21E,2463
Pulkovo_1995_Gauss_Kruger_CM_27E,2464
Pulkovo_1995_Gauss_Kruger_CM_33E,2465
Pulkovo_1995_Gauss_Kruger_CM_39E,2466
Pulkovo_1995_Gauss_Kruger_CM_45E,2467
Pulkovo_1995_Gauss_Kruger_CM_51E,2468
Pulkovo_1995_Gauss_Kruger_CM_57E,2469
Pulkovo_1995_Gauss_Kruger_CM_63E,2470
Pulkovo_1995_Gauss_Kruger_CM_69E,2471
Pulkovo_1995_Gauss_Kruger_CM_75E,2472
Pulkovo_1995_Gauss_Kruger_CM_81E,2473
Pulkovo_1995_Gauss_Kruger_CM_87E,2474
Pulkovo_1995_Gauss_Kruger_CM_93E,2475
Pulkovo_1995_Gauss_Kruger_CM_99E,2476
Pulkovo_1995_Gauss_Kruger_CM_105E,2477
Pulkovo_1995_Gauss_Kruger_CM_111E,2478
Pulkovo_1995_Gauss_Kruger_CM_117E,2479
Pulkovo_1995_Gauss_Kruger_CM_123E,2480
Pulkovo_1995_Gauss_Kruger_CM_129E,2481
Pulkovo_1995_Gauss_Kruger_CM_135E,2482
Pulkovo_1995_Gauss_Kruger_CM_141E,2483
Pulkovo_1995_Gauss_Kruger_CM_147E,2484
Pulkovo_1995_Gauss_Kruger_CM_153E,2485
Pulkovo_1995_Gauss_Kruger_CM_159E,2486
Pulkovo_1995_Gauss_Kruger_CM_165E,2487
Pulkovo_1995_Gauss_Kruger_CM_171E,2488
Pulkovo_1995_Gauss_Kruger_CM_177E,2489
Pulkovo_1995_Gauss_Kruger_CM_177W,2490
Pulkovo_1995_Gauss_Kruger_CM_171W,2491
Pulkovo_1942_Gauss_Kruger_CM_9E_deprecated,2492
Pulkovo_1942_Gauss_Kruger_CM_15E_deprecated,2493
Pulkovo_1942_Gauss_Kruger_CM_21E,2494
Pulkovo_1942_Gauss_Kruger_CM_27E,2495
Pulkovo_1942_Gauss_Kruger_CM_33E,2496
Pulkovo_1942_Gauss_Kruger_CM_39E,2497
Pulkovo_1942_Gauss_Kruger_CM_45E,2498
Pulkovo_1942_Gauss_Kruger_CM_51E,2499
Pulkovo_1942_Gauss_Kruger_CM_57E,2500
Pulkovo_1942_Gauss_Kruger_CM_63E,2501
Pulkovo_1942_Gauss_Kruger_CM_69E,2502
Pulkovo_1942_Gauss_Kruger_CM_75E,2503
Pulkovo_1942_Gauss_Kruger_CM_81E,2504
Pulkovo_1942_Gauss_Kruger_CM_87E,2505
Pulkovo_1942_Gauss_Kruger_CM_93E,2506
Pulkovo_1942_Gauss_Kruger_CM_99E,2507
Pulkovo_1942_Gauss_Kruger_CM_105E,2508
Pulkovo_1942_Gauss_Kruger_CM_111E,2509
Pulkovo_1942_Gauss_Kruger_CM_117E,2510
Pulkovo_1942_Gauss_Kruger_CM_123E,2511
Pulkovo_1942_Gauss_Kruger_CM_129E,2512
Pulkovo_1942_Gauss_Kruger_CM_135E,2513
Pulkovo_1942_Gauss_Kruger_CM_141E,2514
Pulkovo_1942_Gauss_Kruger_CM_147E,2515
Pulkovo_1942_Gauss_Kruger_CM_153E,2516
Pulkovo_1942_Gauss_Kruger_CM_159E,2517
Pulkovo_1942_Gauss_Kruger_CM_165E,2518
Pulkovo_1942_Gauss_Kruger_CM_171E,2519
Pulkovo_1942_Gauss_Kruger_CM_177E,2520
Pulkovo_1942_Gauss_Kruger_CM_177W,2521
Pulkovo_1942_Gauss_Kruger_CM_171W,2522
Pulkovo_1942_3_degree_Gauss_Kruger_zone_7,2523
Pulkovo_1942_3_degree_Gauss_Kruger_zone_8,2524
Pulkovo_1942_3_degree_Gauss_Kruger_zone_9,2525
Pulkovo_1942_3_degree_Gauss_Kruger_zone_10,2526
Pulkovo_1942_3_degree_Gauss_Kruger_zone_11,2527
Pulkovo_1942_3_degree_Gauss_Kruger_zone_12,2528
Pulkovo_1942_3_degree_Gauss_Kruger_zone_13,2529
Pulkovo_1942_3_degree_Gauss_Kruger_zone_14,2530
Pulkovo_1942_3_degree_Gauss_Kruger_zone_15,2531
Pulkovo_1942_3_degree_Gauss_Kruger_zone_16,2532
Pulkovo_1942_3_degree_Gauss_Kruger_zone_17,2533
Pulkovo_1942_3_degree_Gauss_Kruger_zone_18,2534
Pulkovo_1942_3_degree_Gauss_Kruger_zone_19,2535
Pulkovo_1942_3_degree_Gauss_Kruger_zone_20,2536
Pulkovo_1942_3_degree_Gauss_Kruger_zone_21,2537
Pulkovo_1942_3_degree_Gauss_Kruger_zone_22,2538
Pulkovo_1942_3_degree_Gauss_Kruger_zone_23,2539
Pulkovo_1942_3_degree_Gauss_Kruger_zone_24,2540
Pulkovo_1942_3_degree_Gauss_Kruger_zone_25,2541
Pulkovo_1942_3_degree_Gauss_Kruger_zone_26,2542
Pulkovo_1942_3_degree_Gauss_Kruger_zone_27,2543
Pulkovo_1942_3_degree_Gauss_Kruger_zone_28,2544
Pulkovo_1942_3_degree_Gauss_Kruger_zone_29,2545
Pulkovo_1942_3_degree_Gauss_Kruger_zone_30,2546
Pulkovo_1942_3_degree_Gauss_Kruger_zone_31,2547
Pulkovo_1942_3_degree_Gauss_Kruger_zone_32,2548
Pulkovo_1942_3_degree_Gauss_Kruger_zone_33,2549
Samboja_UTM_zone_50S_deprecated,2550
Pulkovo_1942_3_degree_Gauss_Kruger_zone_34,2551
Pulkovo_1942_3_degree_Gauss_Kruger_zone_35,2552
Pulkovo_1942_3_degree_Gauss_Kruger_zone_36,2553
Pulkovo_1942_3_degree_Gauss_Kruger_zone_37,2554
Pulkovo_1942_3_degree_Gauss_Kruger_zone_38,2555
Pulkovo_1942_3_degree_Gauss_Kruger_zone_39,2556
Pulkovo_1942_3_degree_Gauss_Kruger_zone_40,2557
Pulkovo_1942_3_degree_Gauss_Kruger_zone_41,2558
Pulkovo_1942_3_degree_Gauss_Kruger_zone_42,2559
Pulkovo_1942_3_degree_Gauss_Kruger_zone_43,2560
Pulkovo_1942_3_degree_Gauss_Kruger_zone_44,2561
